Name,PE_14,PE_8,PE_9,PN_16,PN_17,PN_9
PB.3197.1,13.1561,17.7597,21.7343,30.6918,35.6572,18.0624
PB.3196.4,0.673228,1.15258,3.1032,3.45497,4.24208,0.94732
PB.3196.2,0.90846,1.03687,1.675,0.932433,0.520391,3.19581
PB.3195.7,2.18002,2.79918,0.0,0.0,3.12195,2.68413
PB.6120.1,34.5472,17.5075,33.618,30.534,28.5653,22.9559
PB.3195.4,2.23441,5.68762,5.36446,5.53144,3.40459,3.98633
PB.3195.3,2.38182,0.0,1.06932,0.373989,0.854592,0.0
PB.130.1,1.74392,1.09966,8.8828,0.0,1.10389,4.06751
PB.8402.4,4.09117,0.58368,4.7145,1.04978,1.17177,3.59801
PB.399.5,0.820954,0.399733,0.887259,0.0,1.62065,1.0394
PB.258.2,0.0,1.32445,1.9568,5.13453,1.11945,0.668472
PB.1037.10,1.32482,2.26811,2.44267,0.0,0.0,2.79629
PB.3191.3,5.01213,3.57536,10.7147,10.3488,16.8426,8.07114
PB.7949.2,1.06094,0.605451,0.97807,0.272235,0.911606,0.373221
PB.4324.22,0.0,1.43771,0.0,1.43631,1.39419,0.0
PB.5401.1,19.9943,16.8493,22.8452,0.0,0.0,65.2598
PB.3188.14,3.66387,3.48479,4.50357,0.62676,1.39918,1.71852
PB.4928.2,109.539,29.9564,70.5533,45.5562,56.4518,66.3706
PB.7693.1,8.50687,7.50262,11.4071,7.11024,5.31597,6.52475
PB.3188.13,1.61064,2.14468,4.94942,1.65314,1.5377,2.64411
PB.3188.11,2.32331,1.82199,0.0,1.71401,3.64127,0.0
PB.1392.22,9.3012,8.81447,17.3794,6.2932,9.39394,8.16516
PB.8565.8,0.853784,0.0,0.0,2.48936,0.674538,0.0
PB.1986.59,0.0,11.4826,0.0,0.440287,0.244933,2.12918
PB.3188.9,19.4621,1.95462,8.28104,16.5697,16.181,12.1148
PB.4692.7,3.61748,4.91731,2.2428,0.584515,0.0,3.56944
PB.3187.1,1.40049,0.799219,2.58218,0.0,0.0,0.0
PB.3596.1,11.1471,8.50955,15.1807,11.1585,10.8321,6.92215
PB.5854.1,0.0,0.0,0.902031,1.00428,2.93036,0.755694
PB.5126.2,0.0,0.892976,1.25109,4.68655,0.0,0.0
PB.8314.1,18.6653,20.1364,14.527,22.9368,13.9748,10.1199
PB.3403.3,0.0,0.76243,1.23166,1.37128,0.76531,1.87996
PB.855.17,2.07356,1.15285,0.0,0.0,1.17013,0.0
PB.8293.7,1.15304,0.659267,2.18961,3.56992,1.9959,4.12886
PB.10785.1,0.0,1.27352,0.0,5.65208,4.63172,2.8584
PB.3600.2,1.7223,2.94862,3.57442,22.0642,14.0967,8.48233
PB.3184.1,2.7232,0.777029,0.0,0.698767,0.0,0.0
PB.3627.8,0.949078,0.541613,3.49977,0.0,0.0,0.0
PB.855.21,0.905856,0.958144,0.0,0.0,0.527199,0.648804
PB.4641.1,93.3437,6.8736,59.4581,19.1663,24.4601,14.159
PB.2805.1,0.0,0.0,1.54611,0.860531,0.960698,1.17996
PB.2432.1,3.03969,3.903,7.00563,4.28986,4.78835,1.60397
